iter	Logloss
0	0.507382045
1	0.4157772696
2	0.3741861882
3	0.3490250788
4	0.3391504886
5	0.3281731955
6	0.3228678373
7	0.3165749423
8	0.3107247205
9	0.3075264838
10	0.3050826981
11	0.3029399894
12	0.3009121245
13	0.2994688125
14	0.2962573346
15	0.294940314
16	0.2940476404
17	0.2932688288
18	0.2920597337
19	0.2913020118
20	0.2899450719
21	0.289195055
22	0.2883649207
23	0.2872988507
24	0.2862184435
25	0.2854761462
26	0.2845564171
27	0.2838442051
28	0.2830495458
29	0.2826775801
30	0.2823279555
31	0.2815311656
32	0.281025213
33	0.280252231
34	0.2790977057
35	0.2786416306
36	0.2783321172
37	0.2776843526
38	0.277225972
39	0.2768490612
40	0.2764586004
41	0.2759119966
42	0.2755449094
43	0.2753262123
44	0.275012126
45	0.2744472449
46	0.2739459495
47	0.2733646851
48	0.2728853467
49	0.2726653356
50	0.2708879614
51	0.2706967887
52	0.270128632
53	0.2697982275
54	0.2678709056
55	0.2674917985
56	0.2671569158
57	0.2662682415
58	0.2660042925
59	0.265526333
60	0.2650348701
61	0.2647081943
62	0.2643920492
63	0.2639402596
64	0.2635589227
65	0.2634005918
66	0.2631051267
67	0.2628768037
68	0.2623907128
69	0.2620242437
70	0.2618572331
71	0.2615627994
72	0.2609900556
73	0.2607470268
74	0.2595994039
75	0.2590523912
76	0.2587804102
77	0.2585455999
78	0.2584698866
79	0.2581841103
80	0.2579277815
81	0.257607625
82	0.2572554362
83	0.2569593166
84	0.2564607565
85	0.2562864627
86	0.2559591348
87	0.2554917251
88	0.2552943293
89	0.2550900663
90	0.2548788621
91	0.254706363
92	0.2543962953
93	0.253979417
94	0.2534474578
95	0.2530414475
96	0.2528836309
97	0.2525616116
98	0.2522678063
99	0.2520271935
100	0.2518529288
101	0.2515311881
102	0.2513111054
103	0.2511275343
104	0.2508529015
105	0.2506389302
106	0.2500429521
107	0.249941527
108	0.2495820754
109	0.249429853
110	0.2492668732
111	0.2490510438
112	0.248813098
113	0.2485139399
114	0.2483252083
115	0.2479272946
116	0.2477476347
117	0.2475333408
118	0.2473343559
119	0.2471712941
120	0.2468180988
121	0.246650751
122	0.2464658781
123	0.2463186203
124	0.246120711
125	0.2458042254
126	0.24559178
127	0.2452898806
128	0.2451336139
129	0.2449922578
130	0.2448737959
131	0.244770092
132	0.2445766029
133	0.2444319141
134	0.2443711014
135	0.2442111186
136	0.2440206647
137	0.2438743842
138	0.2435280226
139	0.2432842758
140	0.2430838498
141	0.2428196212
142	0.2426664645
143	0.2424355764
144	0.2423216132
145	0.2420386286
146	0.2419540455
147	0.2415249161
148	0.2413027298
149	0.2411508203
