iter	Passed	Remaining
0	190	28444
1	207	15373
2	233	11430
3	264	9640
4	281	8157
5	308	7400
6	333	6811
7	363	6459
8	397	6221
9	426	5973
10	465	5879
11	485	5588
12	508	5359
13	538	5230
14	564	5080
15	596	4997
16	627	4910
17	661	4849
18	689	4754
19	718	4671
20	745	4578
21	779	4533
22	812	4485
23	841	4420
24	869	4348
25	893	4262
26	925	4214
27	957	4171
28	997	4160
29	1024	4097
30	1057	4060
31	1091	4025
32	1121	3974
33	1156	3945
34	1184	3891
35	1213	3841
36	1229	3754
37	1253	3693
38	1269	3613
39	1296	3565
40	1334	3546
41	1368	3520
42	1400	3484
43	1422	3426
44	1447	3377
45	1485	3357
46	1516	3322
47	1544	3282
48	1562	3220
49	1586	3172
50	1615	3136
51	1647	3104
52	1674	3064
53	1698	3019
54	1721	2974
55	1750	2938
56	1768	2885
57	1817	2883
58	1848	2851
59	1871	2807
60	1897	2768
61	1921	2727
62	1953	2697
63	1990	2674
64	2024	2647
65	2049	2608
66	2078	2574
67	2112	2547
68	2152	2526
69	2184	2496
70	2208	2457
71	2232	2418
72	2262	2386
73	2289	2351
74	2330	2330
75	2359	2296
76	2382	2259
77	2417	2231
78	2444	2197
79	2480	2170
80	2508	2136
81	2537	2104
82	2562	2068
83	2592	2036
84	2623	2006
85	2647	1970
86	2668	1932
87	2694	1898
88	2718	1863
89	2741	1827
90	2761	1790
91	2787	1757
92	2813	1724
93	2837	1690
94	2861	1656
95	2885	1622
96	2909	1589
97	2933	1556
98	2966	1528
99	2990	1495
100	3019	1464
101	3045	1433
102	3072	1401
103	3095	1369
104	3124	1339
105	3145	1305
106	3166	1272
107	3186	1239
108	3209	1207
109	3225	1172
110	3253	1143
111	3280	1113
112	3301	1080
113	3328	1051
114	3349	1019
115	3369	987
116	3391	956
117	3416	926
118	3439	895
119	3462	865
120	3482	834
121	3507	804
122	3527	774
123	3552	744
124	3588	717
125	3614	688
126	3642	659
127	3670	630
128	3691	600
129	3710	570
130	3731	541
131	3762	513
132	3783	483
133	3807	454
134	3834	426
135	3853	396
136	3881	368
137	3896	338
138	3919	310
139	3939	281
140	3967	253
141	3997	225
142	4029	197
143	4048	168
144	4068	140
145	4090	112
146	4113	83
147	4145	56
148	4173	28
149	4198	0
